household_key,COMMODITY_DESC,filter_reason,reference_week
4,MILK BY-PRODUCTS,recent_purchase,46
4,PAPER TOWELS,recent_purchase,46
4,SOFT DRINKS,recent_purchase,46
5,BAG SNACKS,recent_purchase,46
5,CARROTS,recent_purchase,46
5,CONDIMENTS/SAUCES,recent_purchase,46
5,ONIONS,recent_purchase,46
5,SALADS/DIPS,recent_purchase,46
5,SOUP,recent_purchase,46
6,ANALGESICS,recent_purchase,46
6,APPLES,recent_purchase,46
6,BAG SNACKS,recent_purchase,46
6,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
6,BATH TISSUES,recent_purchase,46
6,BROCCOLI/CAULIFLOWER,recent_purchase,46
6,CANDY - PACKAGED,recent_purchase,46
6,CIGARETTES,recent_purchase,46
6,CITRUS,recent_purchase,46
6,COFFEE,recent_purchase,46
6,CRACKERS/MISC BKD FD,recent_purchase,46
6,EGGS,recent_purchase,46
6,FACIAL TISS/DNR NAPKIN,recent_purchase,46
6,FD WRAPS/BAGS/TRSH BG,recent_purchase,46
6,FLUID MILK PRODUCTS,recent_purchase,46
6,FRUIT - SHELF STABLE,recent_purchase,46
6,HAIR CARE PRODUCTS,recent_purchase,46
6,MUSHROOMS,recent_purchase,46
6,ONIONS,recent_purchase,46
6,ORGANICS FRUIT & VEGETABLES,recent_purchase,46
6,REFRGRATD JUICES/DRNKS,recent_purchase,46
6,SOFT DRINKS,recent_purchase,46
6,SUGARS/SWEETNERS,recent_purchase,46
6,TROPICAL FRUIT,recent_purchase,46
6,VEGETABLES - ALL OTHERS,recent_purchase,46
7,BABY FOODS,recent_purchase,46
7,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
7,BAKED SWEET GOODS,recent_purchase,46
7,CANDY - PACKAGED,recent_purchase,46
7,COLD CEREAL,recent_purchase,46
7,CONVENIENT BRKFST/WHLSM SNACKS,recent_purchase,46
7,REFRGRATD JUICES/DRNKS,recent_purchase,46
7,SALAD MIX,recent_purchase,46
7,STATIONERY & SCHOOL SUPPLIES,recent_purchase,46
8,BAKING MIXES,recent_purchase,46
8,BEEF,recent_purchase,46
8,BEERS/ALES,recent_purchase,46
8,CHICKEN,recent_purchase,46
8,DISHWASH DETERGENTS,recent_purchase,46
8,EGGS,recent_purchase,46
8,FRZN VEGETABLE/VEG DSH,recent_purchase,46
8,ICE CREAM/MILK/SHERBTS,recent_purchase,46
8,SALD DRSNG/SNDWCH SPRD,recent_purchase,46
8,SHORTENING/OIL,recent_purchase,46
8,SOFT DRINKS,recent_purchase,46
8,VEGETABLES - ALL OTHERS,recent_purchase,46
9,ORAL HYGIENE PRODUCTS,recent_purchase,46
12,CARROTS,recent_purchase,46
12,COFFEE,recent_purchase,46
12,HOT CEREAL,recent_purchase,46
12,POTATOES,recent_purchase,46
12,SOUP,recent_purchase,46
12,TROPICAL FRUIT,recent_purchase,46
12,TURKEY,recent_purchase,46
12,VEGETABLES - ALL OTHERS,recent_purchase,46
13,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
13,BAKED SWEET GOODS,recent_purchase,46
13,BAKING NEEDS,recent_purchase,46
13,BATTERIES,recent_purchase,46
13,COLD AND FLU,recent_purchase,46
13,COLD CEREAL,recent_purchase,46
13,COOKIES/CONES,recent_purchase,46
13,CRACKERS/MISC BKD FD,recent_purchase,46
13,DIAPERS & DISPOSABLES,recent_purchase,46
13,DINNER SAUSAGE,recent_purchase,46
13,DOG FOODS,recent_purchase,46
13,EGGS,recent_purchase,46
13,FD WRAPS/BAGS/TRSH BG,recent_purchase,46
13,FLUID MILK PRODUCTS,recent_purchase,46
13,FRUIT - SHELF STABLE,recent_purchase,46
13,FRZN VEGETABLE/VEG DSH,recent_purchase,46
13,HAIR CARE PRODUCTS,recent_purchase,46
13,LUNCHMEAT,recent_purchase,46
13,MARGARINES,recent_purchase,46
13,MEAT - SHELF STABLE,recent_purchase,46
13,MOLASSES/SYRUP/PANCAKE MIXS,recent_purchase,46
13,REFRGRATD DOUGH PRODUCTS,recent_purchase,46
13,SALAD BAR,recent_purchase,46
13,SOAP - LIQUID & BAR,recent_purchase,46
13,SOFT DRINKS,recent_purchase,46
13,SUGARS/SWEETNERS,recent_purchase,46
14,BEEF,recent_purchase,46
14,BREAKFAST SAUSAGE/SANDWICHES,recent_purchase,46
14,CANNED JUICES,recent_purchase,46
14,CHEESE,recent_purchase,46
14,DRY NOODLES/PASTA,recent_purchase,46
14,EGGS,recent_purchase,46
14,PASTA SAUCE,recent_purchase,46
15,BERRIES,recent_purchase,46
15,CEREAL/BREAKFAST,recent_purchase,46
15,CHEESE,recent_purchase,46
15,CHEESES,recent_purchase,46
15,CHICKEN,recent_purchase,46
15,CITRUS,recent_purchase,46
15,EGGS,recent_purchase,46
15,FLUID MILK PRODUCTS,recent_purchase,46
15,FROZEN MEAT,recent_purchase,46
15,FRZN MEAT/MEAT DINNERS,recent_purchase,46
15,FRZN VEGETABLE/VEG DSH,recent_purchase,46
15,GRAPES,recent_purchase,46
15,HAIR CARE PRODUCTS,recent_purchase,46
15,ORGANICS FRUIT & VEGETABLES,recent_purchase,46
15,REFRGRATD JUICES/DRNKS,recent_purchase,46
15,TOMATOES,recent_purchase,46
15,TROPICAL FRUIT,recent_purchase,46
15,TURKEY,recent_purchase,46
15,VALUE ADDED FRUIT,recent_purchase,46
15,VITAMINS,recent_purchase,46
15,YOGURT,recent_purchase,46
16,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
16,BAKED SWEET GOODS,recent_purchase,46
16,BREAKFAST SWEETS,recent_purchase,46
16,BUTTER,recent_purchase,46
16,CANDY - CHECKLANE,recent_purchase,46
16,COUPON/MISC ITEMS,recent_purchase,46
16,DELI MEATS,recent_purchase,46
16,FLUID MILK PRODUCTS,recent_purchase,46
16,HOUSEHOLD CLEANG NEEDS,recent_purchase,46
16,MARGARINES,recent_purchase,46
16,ONIONS,recent_purchase,46
16,PNT BTR/JELLY/JAMS,recent_purchase,46
16,SALAD MIX,recent_purchase,46
16,SALD DRSNG/SNDWCH SPRD,recent_purchase,46
16,SOFT DRINKS,recent_purchase,46
16,TOMATOES,recent_purchase,46
16,WAREHOUSE SNACKS,recent_purchase,46
17,APPLES,recent_purchase,46
17,BAG SNACKS,recent_purchase,46
17,BAKING MIXES,recent_purchase,46
17,BEEF,recent_purchase,46
17,BROCCOLI/CAULIFLOWER,recent_purchase,46
17,CANDY - PACKAGED,recent_purchase,46
17,CHICKEN,recent_purchase,46
17,COLD AND FLU,recent_purchase,46
17,CONDIMENTS/SAUCES,recent_purchase,46
17,COUPON/MISC ITEMS,recent_purchase,46
17,DOG FOODS,recent_purchase,46
17,FLUID MILK PRODUCTS,recent_purchase,46
17,GREETING CARDS/WRAP/PARTY SPLY,recent_purchase,46
17,MILK BY-PRODUCTS,recent_purchase,46
17,ONIONS,recent_purchase,46
17,ORAL HYGIENE PRODUCTS,recent_purchase,46
17,PEPPERS-ALL,recent_purchase,46
17,PORK,recent_purchase,46
17,POTATOES,recent_purchase,46
17,SMOKED MEATS,recent_purchase,46
17,SOFT DRINKS,recent_purchase,46
17,SUGARS/SWEETNERS,recent_purchase,46
17,TEAS,recent_purchase,46
17,TOMATOES,recent_purchase,46
17,TROPICAL FRUIT,recent_purchase,46
17,VEGETABLES - ALL OTHERS,recent_purchase,46
17,WATER - CARBONATED/FLVRD DRINK,recent_purchase,46
18,BAG SNACKS,recent_purchase,46
18,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
18,BEERS/ALES,recent_purchase,46
18,CHEESE,recent_purchase,46
18,DOMESTIC WINE,recent_purchase,46
18,EGGS,recent_purchase,46
18,FLUID MILK PRODUCTS,recent_purchase,46
18,FRZN VEGETABLE/VEG DSH,recent_purchase,46
18,SALAD MIX,recent_purchase,46
18,SALADS/DIPS,recent_purchase,46
18,SEAFOOD - FROZEN,recent_purchase,46
18,SOUP,recent_purchase,46
18,TROPICAL FRUIT,recent_purchase,46
18,VEGETABLES - SHELF STABLE,recent_purchase,46
19,BAG SNACKS,recent_purchase,46
19,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
19,BAKED SWEET GOODS,recent_purchase,46
19,BEEF,recent_purchase,46
19,BREAKFAST SAUSAGE/SANDWICHES,recent_purchase,46
19,CANDY - PACKAGED,recent_purchase,46
19,CHEESE,recent_purchase,46
19,CHICKEN/POULTRY,recent_purchase,46
19,COLD CEREAL,recent_purchase,46
19,CONDIMENTS/SAUCES,recent_purchase,46
19,CONVENIENT BRKFST/WHLSM SNACKS,recent_purchase,46
19,COOKIES/CONES,recent_purchase,46
19,CRACKERS/MISC BKD FD,recent_purchase,46
19,DELI MEATS,recent_purchase,46
19,DINNER SAUSAGE,recent_purchase,46
19,DRY BN/VEG/POTATO/RICE,recent_purchase,46
19,DRY NOODLES/PASTA,recent_purchase,46
19,DRY SAUCES/GRAVY,recent_purchase,46
19,EGGS,recent_purchase,46
19,FLUID MILK PRODUCTS,recent_purchase,46
19,FROZEN PIE/DESSERTS,recent_purchase,46
19,FROZEN PIZZA,recent_purchase,46
19,FRUIT - SHELF STABLE,recent_purchase,46
19,FRZN MEAT/MEAT DINNERS,recent_purchase,46
19,FRZN NOVELTIES/WTR ICE,recent_purchase,46
19,HISPANIC,recent_purchase,46
19,ICE CREAM/MILK/SHERBTS,recent_purchase,46
19,LUNCHMEAT,recent_purchase,46
19,MEAT - MISC,recent_purchase,46
19,MEAT - SHELF STABLE,recent_purchase,46
19,PASTA SAUCE,recent_purchase,46
19,PNT BTR/JELLY/JAMS,recent_purchase,46
19,POTATOES,recent_purchase,46
19,REFRGRATD DOUGH PRODUCTS,recent_purchase,46
19,REFRGRATD JUICES/DRNKS,recent_purchase,46
19,SEAFOOD - SHELF STABLE,recent_purchase,46
19,SOFT DRINKS,recent_purchase,46
19,SPICES & EXTRACTS,recent_purchase,46
19,SUGARS/SWEETNERS,recent_purchase,46
19,TOMATOES,recent_purchase,46
19,TROPICAL FRUIT,recent_purchase,46
19,VEGETABLES - SHELF STABLE,recent_purchase,46
19,WAREHOUSE SNACKS,recent_purchase,46
20,ANALGESICS,recent_purchase,46
20,BAG SNACKS,recent_purchase,46
20,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
20,BAKING MIXES,recent_purchase,46
20,BAKING NEEDS,recent_purchase,46
20,BATH TISSUES,recent_purchase,46
20,BEERS/ALES,recent_purchase,46
20,CAKES,recent_purchase,46
20,CHEESE,recent_purchase,46
20,COLD AND FLU,recent_purchase,46
20,COLD CEREAL,recent_purchase,46
20,CONDIMENTS/SAUCES,recent_purchase,46
20,COUPON/MISC ITEMS,recent_purchase,46
20,DINNER MXS:DRY,recent_purchase,46
20,DOG FOODS,recent_purchase,46
20,EGGS,recent_purchase,46
20,FLUID MILK PRODUCTS,recent_purchase,46
20,FROZEN BREAD/DOUGH,recent_purchase,46
20,FROZEN PIZZA,recent_purchase,46
20,FRZN POTATOES,recent_purchase,46
20,HOT DOGS,recent_purchase,46
20,LUNCHMEAT,recent_purchase,46
20,MARGARINES,recent_purchase,46
20,MILK BY-PRODUCTS,recent_purchase,46
20,REFRGRATD DOUGH PRODUCTS,recent_purchase,46
20,SALAD MIX,recent_purchase,46
20,SALD DRSNG/SNDWCH SPRD,recent_purchase,46
20,SOFT DRINKS,recent_purchase,46
20,SOUP,recent_purchase,46
22,AIR CARE,recent_purchase,46
22,BAG SNACKS,recent_purchase,46
22,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
22,BAKING MIXES,recent_purchase,46
22,BEEF,recent_purchase,46
22,CHEESE,recent_purchase,46
22,COFFEE,recent_purchase,46
22,CRACKERS/MISC BKD FD,recent_purchase,46
22,DRY NOODLES/PASTA,recent_purchase,46
22,EGGS,recent_purchase,46
22,FLUID MILK PRODUCTS,recent_purchase,46
22,FRUIT - SHELF STABLE,recent_purchase,46
22,MARGARINES,recent_purchase,46
22,POTATOES,recent_purchase,46
22,PROCESSED,recent_purchase,46
22,SALD DRSNG/SNDWCH SPRD,recent_purchase,46
22,SOUP,recent_purchase,46
22,SUGARS/SWEETNERS,recent_purchase,46
22,TROPICAL FRUIT,recent_purchase,46
22,VEGETABLES - SHELF STABLE,recent_purchase,46
23,AIR CARE,recent_purchase,46
23,BAG SNACKS,recent_purchase,46
23,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
23,BATH TISSUES,recent_purchase,46
23,BEERS/ALES,recent_purchase,46
23,CHEESE,recent_purchase,46
23,CITRUS,recent_purchase,46
23,COFFEE,recent_purchase,46
23,COLD CEREAL,recent_purchase,46
23,CONDIMENTS/SAUCES,recent_purchase,46
23,COUPON/MISC ITEMS,recent_purchase,46
23,CRACKERS/MISC BKD FD,recent_purchase,46
23,DOMESTIC WINE,recent_purchase,46
23,EGGS,recent_purchase,46
23,FROZEN MEAT,recent_purchase,46
23,FROZEN PIZZA,recent_purchase,46
23,FRZN POTATOES,recent_purchase,46
23,FRZN VEGETABLE/VEG DSH,recent_purchase,46
23,LUNCHMEAT,recent_purchase,46
23,ORAL HYGIENE PRODUCTS,recent_purchase,46
23,PAPER TOWELS,recent_purchase,46
23,SOFT DRINKS,recent_purchase,46
23,SOUP,recent_purchase,46
23,STATIONERY & SCHOOL SUPPLIES,recent_purchase,46
24,BAG SNACKS,recent_purchase,46
24,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
24,CHEESE,recent_purchase,46
24,CHICKEN/POULTRY,recent_purchase,46
24,LUNCHMEAT,recent_purchase,46
24,SOFT DRINKS,recent_purchase,46
25,ANALGESICS,recent_purchase,46
25,BAG SNACKS,recent_purchase,46
25,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
25,CANDY - CHECKLANE,recent_purchase,46
25,CHEESE,recent_purchase,46
25,CONDIMENTS/SAUCES,recent_purchase,46
25,FIRST AID PRODUCTS,recent_purchase,46
25,FLUID MILK PRODUCTS,recent_purchase,46
25,FRZN BREAKFAST FOODS,recent_purchase,46
25,FRZN NOVELTIES/WTR ICE,recent_purchase,46
25,ICE CREAM/MILK/SHERBTS,recent_purchase,46
25,LUNCHMEAT,recent_purchase,46
25,SOFT DRINKS,recent_purchase,46
25,SOUP,recent_purchase,46
25,VEGETABLES - SHELF STABLE,recent_purchase,46
25,WATER - CARBONATED/FLVRD DRINK,recent_purchase,46
26,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
26,BEEF,recent_purchase,46
26,CANNED JUICES,recent_purchase,46
26,CHEESE,recent_purchase,46
26,DINNER MXS:DRY,recent_purchase,46
26,DRY NOODLES/PASTA,recent_purchase,46
26,FLUID MILK PRODUCTS,recent_purchase,46
26,FROZEN PIZZA,recent_purchase,46
26,FRUIT - SHELF STABLE,recent_purchase,46
26,FRZN BREAKFAST FOODS,recent_purchase,46
26,FRZN MEAT/MEAT DINNERS,recent_purchase,46
26,HISPANIC,recent_purchase,46
26,HOT DOGS,recent_purchase,46
26,MILK BY-PRODUCTS,recent_purchase,46
26,PASTA SAUCE,recent_purchase,46
26,PORK,recent_purchase,46
26,REFRGRATD JUICES/DRNKS,recent_purchase,46
26,SALAD MIX,recent_purchase,46
26,SOFT DRINKS,recent_purchase,46
26,SOUP,recent_purchase,46
26,VEGETABLES - SHELF STABLE,recent_purchase,46
26,WATER - CARBONATED/FLVRD DRINK,recent_purchase,46
27,ANALGESICS,recent_purchase,46
27,BAG SNACKS,recent_purchase,46
27,BAKED SWEET GOODS,recent_purchase,46
27,BATH TISSUES,recent_purchase,46
27,BEEF,recent_purchase,46
27,BEERS/ALES,recent_purchase,46
27,BREAKFAST SAUSAGE/SANDWICHES,recent_purchase,46
27,BREAKFAST SWEETS,recent_purchase,46
27,CANDY - CHECKLANE,recent_purchase,46
27,CANDY - PACKAGED,recent_purchase,46
27,CAT FOOD,recent_purchase,46
27,CHEESE,recent_purchase,46
27,CHEESES,recent_purchase,46
27,CHICKEN/POULTRY,recent_purchase,46
27,CIGARETTES,recent_purchase,46
27,CONDIMENTS/SAUCES,recent_purchase,46
27,CONVENIENT BRKFST/WHLSM SNACKS,recent_purchase,46
27,COOKIES,recent_purchase,46
27,COUPON/MISC ITEMS,recent_purchase,46
27,CRACKERS/MISC BKD FD,recent_purchase,46
27,DELI MEATS,recent_purchase,46
27,FD WRAPS/BAGS/TRSH BG,recent_purchase,46
27,FROZEN PIZZA,recent_purchase,46
27,FRZN BREAKFAST FOODS,recent_purchase,46
27,FRZN MEAT/MEAT DINNERS,recent_purchase,46
27,FRZN POTATOES,recent_purchase,46
27,HAIR CARE PRODUCTS,recent_purchase,46
27,LAUNDRY ADDITIVES,recent_purchase,46
27,LAUNDRY DETERGENTS,recent_purchase,46
27,LUNCHMEAT,recent_purchase,46
27,MAGAZINE,recent_purchase,46
27,MARGARINES,recent_purchase,46
27,MEAT - SHELF STABLE,recent_purchase,46
27,PAPER HOUSEWARES,recent_purchase,46
27,PAPER TOWELS,recent_purchase,46
27,PET CARE SUPPLIES,recent_purchase,46
27,PREPARED FOOD,recent_purchase,46
27,SALAD MIX,recent_purchase,46
27,SALD DRSNG/SNDWCH SPRD,recent_purchase,46
27,SEAFOOD - SHELF STABLE,recent_purchase,46
27,SNACK NUTS,recent_purchase,46
27,SOFT DRINKS,recent_purchase,46
27,SOUP,recent_purchase,46
28,BATH TISSUES,recent_purchase,46
28,CANDY - CHECKLANE,recent_purchase,46
28,CANDY - PACKAGED,recent_purchase,46
28,CAT FOOD,recent_purchase,46
28,CHICKEN,recent_purchase,46
28,CONVENIENT BRKFST/WHLSM SNACKS,recent_purchase,46
28,DEODORANTS,recent_purchase,46
28,DOMESTIC WINE,recent_purchase,46
28,HAIR CARE PRODUCTS,recent_purchase,46
28,REFRGRATD DOUGH PRODUCTS,recent_purchase,46
28,SEAFOOD - FROZEN,recent_purchase,46
28,SOFT DRINKS,recent_purchase,46
28,VALUE ADDED FRUIT,recent_purchase,46
29,BAG SNACKS,recent_purchase,46
29,BEEF,recent_purchase,46
29,COOKIES,recent_purchase,46
29,COOKIES/CONES,recent_purchase,46
29,DINNER MXS:DRY,recent_purchase,46
29,FROZEN PIZZA,recent_purchase,46
29,FRZN MEAT/MEAT DINNERS,recent_purchase,46
29,FRZN NOVELTIES/WTR ICE,recent_purchase,46
29,ICE CREAM/MILK/SHERBTS,recent_purchase,46
29,PIES,recent_purchase,46
29,REFRGRATD JUICES/DRNKS,recent_purchase,46
29,SEAFOOD - SHELF STABLE,recent_purchase,46
29,SWEET GOODS & SNACKS,recent_purchase,46
30,COUPON/MISC ITEMS,recent_purchase,46
32,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
32,CARROTS,recent_purchase,46
32,CHEESE,recent_purchase,46
32,FRZN VEGETABLE/VEG DSH,recent_purchase,46
32,SALAD BAR,recent_purchase,46
32,SINUS AND ALLERGY,recent_purchase,46
32,VEGETABLES - ALL OTHERS,recent_purchase,46
32,VEGETABLES - SHELF STABLE,recent_purchase,46
33,BAG SNACKS,recent_purchase,46
33,BAKING NEEDS,recent_purchase,46
33,BEEF,recent_purchase,46
33,BREAKFAST SAUSAGE/SANDWICHES,recent_purchase,46
33,CANNED JUICES,recent_purchase,46
33,CHEESE,recent_purchase,46
33,CHICKEN,recent_purchase,46
33,COLD CEREAL,recent_purchase,46
33,COUPON/MISC ITEMS,recent_purchase,46
33,CRACKERS/MISC BKD FD,recent_purchase,46
33,DINNER MXS:DRY,recent_purchase,46
33,LUNCHMEAT,recent_purchase,46
33,MEAT - MISC,recent_purchase,46
33,PORK,recent_purchase,46
33,REFRGRATD DOUGH PRODUCTS,recent_purchase,46
33,SALAD BAR,recent_purchase,46
33,SHORTENING/OIL,recent_purchase,46
33,UNKNOWN_COMMODITY,recent_purchase,46
36,CHICKEN,recent_purchase,46
36,DRY NOODLES/PASTA,recent_purchase,46
36,MEAT - MISC,recent_purchase,46
36,SALAD BAR,recent_purchase,46
36,SOUP,recent_purchase,46
36,WATER - CARBONATED/FLVRD DRINK,recent_purchase,46
37,APPLES,recent_purchase,46
37,CITRUS,recent_purchase,46
37,COUPON/MISC ITEMS,recent_purchase,46
37,GRAPES,recent_purchase,46
37,SOFT DRINKS,recent_purchase,46
37,STONE FRUIT,recent_purchase,46
37,TOMATOES,recent_purchase,46
37,TROPICAL FRUIT,recent_purchase,46
39,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
39,BAKED SWEET GOODS,recent_purchase,46
39,BEEF,recent_purchase,46
39,BERRIES,recent_purchase,46
39,CANDY - PACKAGED,recent_purchase,46
39,CANNED JUICES,recent_purchase,46
39,CHICKEN,recent_purchase,46
39,COOKIES/CONES,recent_purchase,46
39,DINNER MXS:DRY,recent_purchase,46
39,DRY SAUCES/GRAVY,recent_purchase,46
39,FRZN BREAKFAST FOODS,recent_purchase,46
39,HISPANIC,recent_purchase,46
39,HOT CEREAL,recent_purchase,46
39,HOT DOGS,recent_purchase,46
39,LUNCHMEAT,recent_purchase,46
39,VEGETABLES - ALL OTHERS,recent_purchase,46
39,YOGURT,recent_purchase,46
40,BAG SNACKS,recent_purchase,46
40,CANNED JUICES,recent_purchase,46
40,CARROTS,recent_purchase,46
40,CHEESE,recent_purchase,46
40,CHICKEN,recent_purchase,46
40,COOKIES/CONES,recent_purchase,46
40,COUPON/MISC ITEMS,recent_purchase,46
40,DINNER MXS:DRY,recent_purchase,46
40,DRY BN/VEG/POTATO/RICE,recent_purchase,46
40,DRY NOODLES/PASTA,recent_purchase,46
40,EGGS,recent_purchase,46
40,FD WRAPS/BAGS/TRSH BG,recent_purchase,46
40,FLUID MILK PRODUCTS,recent_purchase,46
40,FRZN VEGETABLE/VEG DSH,recent_purchase,46
40,KITCHEN GADGETS,recent_purchase,46
40,LUNCHMEAT,recent_purchase,46
40,MUSHROOMS,recent_purchase,46
40,ONIONS,recent_purchase,46
40,ORGANICS FRUIT & VEGETABLES,recent_purchase,46
40,PAPER HOUSEWARES,recent_purchase,46
40,REFRIGERATED,recent_purchase,46
40,SEAFOOD - FROZEN,recent_purchase,46
40,SOAP - LIQUID & BAR,recent_purchase,46
40,SOUP,recent_purchase,46
40,SPICES & EXTRACTS,recent_purchase,46
40,TOMATOES,recent_purchase,46
40,TROPICAL FRUIT,recent_purchase,46
40,TURKEY,recent_purchase,46
40,VEGETABLES - ALL OTHERS,recent_purchase,46
40,VEGETABLES SALAD,recent_purchase,46
40,YOGURT,recent_purchase,46
41,APPLES,recent_purchase,46
41,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
41,BEEF,recent_purchase,46
41,CHICKEN/POULTRY,recent_purchase,46
41,CITRUS,recent_purchase,46
41,CONVENIENT BRKFST/WHLSM SNACKS,recent_purchase,46
41,FLUID MILK PRODUCTS,recent_purchase,46
41,LUNCHMEAT,recent_purchase,46
41,SEAFOOD - SHELF STABLE,recent_purchase,46
41,SOUP,recent_purchase,46
41,WATER - CARBONATED/FLVRD DRINK,recent_purchase,46
42,BATH TISSUES,recent_purchase,46
42,BEEF,recent_purchase,46
42,BROOMS AND MOPS,recent_purchase,46
42,CHEESE,recent_purchase,46
42,CHICKEN,recent_purchase,46
42,CITRUS,recent_purchase,46
42,CRACKERS/MISC BKD FD,recent_purchase,46
42,EGGS,recent_purchase,46
42,FRZN MEAT/MEAT DINNERS,recent_purchase,46
42,FRZN VEGETABLE/VEG DSH,recent_purchase,46
42,MARGARINES,recent_purchase,46
42,PAPER TOWELS,recent_purchase,46
42,PNT BTR/JELLY/JAMS,recent_purchase,46
42,SOUP,recent_purchase,46
42,TROPICAL FRUIT,recent_purchase,46
42,TURKEY,recent_purchase,46
42,VALUE ADDED FRUIT,recent_purchase,46
42,VEGETABLES - SHELF STABLE,recent_purchase,46
43,BABY FOODS,recent_purchase,46
43,BAG SNACKS,recent_purchase,46
43,BAKING MIXES,recent_purchase,46
43,BAKING NEEDS,recent_purchase,46
43,CANNED JUICES,recent_purchase,46
43,COUPON/MISC ITEMS,recent_purchase,46
43,ICE CREAM/MILK/SHERBTS,recent_purchase,46
43,INFANT FORMULA,recent_purchase,46
43,PAPER HOUSEWARES,recent_purchase,46
43,SOFT DRINKS,recent_purchase,46
44,BAG SNACKS,recent_purchase,46
44,BAKED BREAD/BUNS/ROLLS,recent_purchase,46
44,BAKED SWEET GOODS,recent_purchase,46
44,BATH TISSUES,recent_purchase,46
44,BEEF,recent_purchase,46
44,CANNED JUICES,recent_purchase,46
44,CHEESES,recent_purchase,46
44,COCOA MIXES,recent_purchase,46
44,COLD CEREAL,recent_purchase,46
44,CONVENIENT BRKFST/WHLSM SNACKS,recent_purchase,46
44,COOKIES,recent_purchase,46
44,COOKIES/CONES,recent_purchase,46
44,CRACKERS/MISC BKD FD,recent_purchase,46
44,DELI MEATS,recent_purchase,46
44,DRY BN/VEG/POTATO/RICE,recent_purchase,46
44,EGGS,recent_purchase,46
44,FD WRAPS/BAGS/TRSH BG,recent_purchase,46
44,FLUID MILK PRODUCTS,recent_purchase,46
44,FRUIT - SHELF STABLE,recent_purchase,46
44,GRAPES,recent_purchase,46
44,HOT CEREAL,recent_purchase,46
44,HOT DOGS,recent_purchase,46
44,MEAT - MISC,recent_purchase,46
44,MEAT - SHELF STABLE,recent_purchase,46
44,MISC. DAIRY,recent_purchase,46
44,PNT BTR/JELLY/JAMS,recent_purchase,46
44,PWDR/CRYSTL DRNK MX,recent_purchase,46
44,REFRGRATD JUICES/DRNKS,recent_purchase,46
44,SALD DRSNG/SNDWCH SPRD,recent_purchase,46
44,SOUP,recent_purchase,46
44,SUGARS/SWEETNERS,recent_purchase,46
44,TOMATOES,recent_purchase,46
44,TROPICAL FRUIT,recent_purchase,46
